id,title,content,publication_date,source_url,is_duplicate,category
32,"Two Russians claiming to be former Wagner commanders admit killing children and civilians in Ukraine","Two Russian men who claim to be former Wagner Group commanders have told a human rights activist that they killed children and civilians during their time in Ukraine.","2024-01-29 12:42:44",https://www.cnn.com/2023/04/17/europe/wagner-commanders-russia-kill-children-intl-hnk/index.html,0,Others
33,"Big Tech's investments in AI has regulators asking Microsoft, Amazon, and Google some questions","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/a41aaade0aa5e4911d0d248ce34c692a.jpg" /><p>It was only a matter of time before the US Federal Trade Commission (FTC), which regulates competition, decided to i<a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://www.ftc.gov/news-events/news/press-releases/2024/01/ftc-launches-inquiry-generative-ai-investments-partnerships" rel="noopener noreferrer" target="_blank">nvestigate big tech’s partnerships with AI companies</a>. The agency is looking specifically at three separate multi-billion-dollar investments, including Microsoft and OpenAI, Amazon and Anthropic, and…</p><p><a href="https://qz.com/microsoft-amazon-google-ai-investments-ftc-1851202060">Read more...</a></p>","2024-01-29 12:42:44",https://qz.com/microsoft-amazon-google-ai-investments-ftc-1851202060,0,Others
34,"Repeated gunshots fired on live TV as ex-lawmaker shot by assassins","Atiq Ahmed, a former lawmaker in India's parliament, convicted of kidnapping, was shot dead along with his brother while police were escorting them for a medical check-up in a slaying caught on live television on Saturday. CNN's Vedika Sud reports.","2024-01-29 12:42:44",https://www.cnn.com/videos/world/2023/04/18/india-ex-lawmaker-atiq-ahmed-assassination-sud-pkg-contd-ovn-intl-hnk-vpx.cnn,0,Others
35,"Subway made a big investment in new meat slicers and it's not looking good","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/544cc9ab7abe867dc91339e6fe1b502b.jpg" /><p>When Subway announced last year that it would be removing pre-sliced meat from its assembly line and <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://thetakeout.com/subway-locations-deli-slicer-meat-better-sandwich-menu-1850071133">adding automatic deli slicers</a> to its more than 20,000 locations, the intention was to improve the chain’s overall sandwich quality. Just six months after this systemwide change, however, Restaurant Business reports <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://www.restaurantbusinessonline.com/financing/some-subway-operators-slicers-arent-all-theyre-sliced-be" rel="noopener noreferrer" target="_blank">Subw…</a></p><p><a href="https://qz.com/subway-meat-slicers-1851195872">Read more...</a></p>","2024-01-29 12:42:44",https://qz.com/subway-meat-slicers-1851195872,0,Others
36,"Oklahoma governor calls on officials to resign over recording of racist and threatening remarks",,"2024-01-29 12:42:44",https://www.cnn.com/2023/04/18/us/mccurtain-county-oklahoma-officials-recording/index.html,0,Others
37,"It turns out oil gets more expensive to ship when boats go boom in the Red Sea","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/dd7143e78390e16321add067c3440b5f.jpg" /><p>The oil comes out the ground, the oil gets sold, the oil gets shipped somewhere, the oil gets turned into gasoline and plastic and all the stuff we use to go about our lives. All of these steps in the process affect the price of the oil itself, and three of them get the most attention, but only one of them is getting…</p><p><a href="https://qz.com/fighting-red-sea-oil-prices-increasing-1851192473">Read more...</a></p>","2024-01-29 12:42:45",https://qz.com/fighting-red-sea-oil-prices-increasing-1851192473,0,Others
38,"Southwest says flights resumed after delays caused by 'tech issues'","• Delta Air Lines reports record bookings for summer travel
• Air France and Airbus acquitted in trial over 2009 plane crash","2024-01-29 12:42:45",https://www.cnn.com/travel/article/southwest-airlines-flight-delays/index.html,0,Others
39,"Tesla has been a tech stock stinker as Microsoft joins Apple in the $3 trillion club","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/aac2eab778880d7284d7f4648437ad03.jpg" /><p>At the top of the year, the Wall Street Journal <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://www.wsj.com/finance/optimism-abounds-wall-street-this-new-year-a0ec5cc0" rel="noopener noreferrer" target="_blank">let the world know</a> about the “Magnificent Seven,” a basket of tech stocks that traders were hyping up for the high profits amid a period of economic uncertainty. </p><p><a href="https://qz.com/tesla-stock-down-magnificent-seven-microsoft-apple-1851194022">Read more...</a></p>","2024-01-29 12:42:45",https://qz.com/tesla-stock-down-magnificent-seven-microsoft-apple-1851194022,0,Others
40,"Opinion: Why millionaires like us want to pay more in taxes","Tuesday is Tax Day in America, one of the most stressful days of the year, when many taxpayers will finally end their procrastination, file their federal returns, and hope for a refund from the IRS. But for many of the nation's wealthiest, it's just another Tuesday.","2024-01-29 12:42:45",https://www.cnn.com/2023/04/17/opinions/us-tax-system-wealthy-disney-pearl/index.html,0,Others
41,"Southwest, American, and Delta are feeling the impacts of Boeing's troubles","<img class="type:primaryImage" src="https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/87927b967b81ee8e61b078c1e5bea263.jpg" /><p>It’s not just <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://qz.com/united-airlines-says-its-growth-will-slow-for-years-bec-1851189943" rel="noopener noreferrer" target="_blank">United Airlines</a> and Alaska Airlines that were <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://qz.com/737-max-9-united-alaska-return-to-air-1851196101" rel="noopener noreferrer" target="_blank">impacted</a> by the <a class="sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link" href="https://qz.com/boeing-737-max-9-alaska-airlines-stock-fallout-1851156730" rel="noopener noreferrer" target="_blank">grounding of Boeing’s 737 Max 9s</a>. Delta, Southwest, and American have taken a gut punch, too.<br /></p><p><a href="https://qz.com/southwest-american-and-delta-feel-the-impacts-of-boei-1851200829">Read more...</a></p>","2024-01-29 12:42:45",https://qz.com/southwest-american-and-delta-feel-the-impacts-of-boei-1851200829,0,Others
